="Auftrag"	=""	="Datum"	="Kunde"	="Name"	="Ort"	="Restwert"	="Art"	="Typ"	="Kompl. Grp"	="Kommentar"	="VV-Nr."	="Lieferdatum"	="GS Bereich"	="Projekt"	="Lieferadresse"	="Lieferort"	="Gesamtwert"	="Sperre manuell"	="Verantwortlich"	="Frei 1"	="Frei 2"	="Bemerkung"	="Projekt Nr."	="Projektname"	="man.Status"	="K Sperre"	="Mat"	="Kom. Endkunde"	="1. Bearbeiter, intern"	="2. Bearbeiter, intern"	="Kommentar zu Freigabe 1"	="Status"	="Wunschdatum"	="Tech Pr³f"	="Kauf Pr³f"	="Kommentar zu Freigabe 2"	="Eintreffdatum"
1024680	="isign_warning"	08.01.2026	12040	="ZIM Aircraft Seating GmbH"	="Immenstaad am Bodensee"	2.230,43	="STD"	=""		=""		20.03.2026	1	="B203457 / FAI wird ben÷tigt!!!"	="ZIM Aircraft Seating GmbH"	="Markdorf"	2.230,43	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	27.03.2026	N	N	=""	27.03.2026
1024682	="isign_warning"	12.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.945,41	="STD"	=""		=""		23.01.2026	1	="4501117326/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.945,41	N	="ZETTLER"	N	N	=""	1024682	="4501117326/A350"		0	0	=""	=""	=""	=""	0	04.12.2025	N	N	=""	30.01.2026
1024683	="isign_warning"	13.11.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	850,22	="STD"	=""		=""		23.01.2026	1	="4501117342/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	850,22	N	="ZETTLER"	N	N	=""	1024683	="4501117342/A350"		0	0	=""	=""	=""	=""	0	24.11.2026	N	N	=""	30.01.2026
1024685	="isign_warning"	13.11.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	2.550,66	="STD"	=""		=""		23.01.2026	1	="4501117372/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	2.550,66	N	="ZETTLER"	N	N	=""	1024685	="4501117372/A350"		0	0	=""	=""	=""	=""	0	27.11.2026	N	N	=""	30.01.2026
1024687	="isign_warning"	14.11.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.582,72	="STD"	=""		=""		13.02.2026	1	="4501117677/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.582,72	N	="ZETTLER"	N	N	=""	1024687	="4501117677/A380"		0	0	=""	=""	=""	=""	0	27.11.2026	N	N	=""	20.02.2026
1024689	="isign_warning"	17.11.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	833,86	="STD"	=""		=""		23.01.2026	1	="4501117920/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	833,86	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	29.01.2026	N	N	=""	30.01.2026
1024692	="isign_warning"	12.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	850,22	="STD"	=""		=""		06.02.2026	1	="4501118564/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	850,22	N	="ZETTLER"	N	N	=""	1024692	="4501118564/A350"		0	0	=""	=""	=""	=""	0	27.11.2025	N	N	=""	13.02.2026
1024696	="isign_warning"	13.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	11.445,30	="STD"	=""		=""		19.03.2026	1	="4501126586/Lit Pocket"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	11.445,30	N	="ZETTLER"	N	N	=""	1024696	="4501126586/Lit Pocket"		0	0	=""	=""	=""	=""	0	26.03.2026	N	N	=""	26.03.2026
1024700	="isign_warning"	13.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	14.341,67	="STD"	=""		=""		09.04.2026	1	="4501123876/Lit Pocket"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	14.341,67	N	="ZETTLER"	N	N	=""	1024700	="4501123876/Lit Pocket"		0	0	=""	=""	=""	=""	0	16.04.2026	N	N	=""	16.04.2026
1024707	="isign_warning"	21.01.2026	10510	="B/E Aerospace Fischer GmbH"	="Landshut"	8.586,00	="STD"	=""		=""		27.02.2026	1	="16056489"	=""	=""	8.586,00	N	="ZETTLER"	N	N	=""	1024707	="16056489"		0	0	=""	=""	=""	=""	0	06.03.2026	N	N	=""	06.03.2026
1024711	="isign_warning"	21.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	4.134,94	="STD"	=""		=""		06.03.2026	1	="4501123023/A350/Eilt!!!"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	4.134,94	N	="ZETTLER"	N	N	=""	1024711	="4501123023/A350/Eilt!!!"		0	0	=""	=""	=""	=""	0	16.01.2026	N	N	=""	13.03.2026
1024713	=""	23.01.2026	10320	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	202,00	="STD"	=""		=""		15.05.2026	1	="APO2600012"	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	202,00	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	22.05.2026	N	N	=""	22.05.2026
1024716	="isign_warning"	05.12.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	8.124,84	="STD"	=""		=""		06.03.2026	1	="4501121727/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	8.124,84	N	="ZETTLER"	N	N	=""	1024716	="4501121727/A380"		0	0	=""	=""	=""	=""	0	19.01.2026	N	N	=""	13.03.2026
1024718	="isign_warning"	26.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.101,32	="STD"	=""		=""		06.02.2026	1	="4501129363/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.101,32	N	="ZETTLER"	N	N	=""	1024718	="4501129363/A380"		0	0	=""	=""	=""	=""	0	06.02.2026	N	N	=""	13.02.2026
1024719	="isign_warning"	26.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	694,34	="STD"	=""		=""		13.02.2026	1	="4501129362/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	694,34	N	="ZETTLER"	N	N	=""	1024719	="4501129362/A380"		0	0	=""	=""	=""	=""	0	06.02.2026	N	N	=""	20.02.2026
1024720	="isign_warning"	26.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	6.177,67	="STD"	=""		=""		13.02.2026	1	="4501129361/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	6.177,67	N	="ZETTLER"	N	N	=""	1024720	="4501129361/A380"		0	0	=""	=""	=""	=""	0	06.02.2026	N	N	=""	20.02.2026
1024721	="isign_warning"	26.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	2.348,44	="STD"	=""		=""		20.03.2026	1	="4501121953/Lit Pocket"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	2.348,44	N	="ZETTLER"	N	N	=""	1024721	="4501121953/Lit Pocket"		0	0	=""	=""	=""	=""	0	13.01.2026	N	N	=""	27.03.2026
1024725	="isign_warning"	09.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	884,05	="STD"	=""		=""		20.02.2026	1	="4501123586/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	3.616,04	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	13.01.2026	N	N	=""	27.02.2026
1024726	="isign_warning"	09.02.2026	10306	="Diverse"	="Memmingen"	0,00	="STD"	=""		=""		20.02.2026	1	="Brandmuster QCM"	="QCM Flamelab Sp. z.o.o."	="Lodz"	0,00	N	="ZETTLER"	N	N	=""	1024726	="Brandmuster QCM"		0	0	=""	=""	=""	=""	0	27.02.2026	N	N	=""	27.02.2026
1024729	="isign_warning"	26.11.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.128,81	="STD"	=""		=""		20.02.2026	1	="4501119964/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.128,81	N	="ZETTLER"	N	N	=""	1024729	="4501119964/A350"		0	0	=""	=""	=""	=""	0	16.01.2026	N	N	=""	27.02.2026
1024731	="isign_warning"	10.02.2026	10107	="GP Aviation Ltd."	="Sofia"	2.250,00	="STD"	=""		=""		13.02.2026	1	="GP0226-04"	="ALBATECHNICS S.R.L."	="FORLI"	2.250,00	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	20.02.2026	N	N	=""	20.02.2026
1024741	="isign_warning"	10.12.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.700,44	="STD"	=""		=""		20.02.2026	1	="4501122372/A350/Eilt !!!"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.700,44	N	="ZETTLER"	N	N	=""	1024741	="4501122372/A350"		0	0	=""	=""	=""	=""	0	18.12.2026	N	N	=""	27.02.2026
1024746	="isign_warning"	12.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	16.229,42	="STD"	=""		=""		03.04.2026	1	="4501124350/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	16.229,42	N	="ZETTLER"	N	N	=""	1024746	="4501124350/A380"		0	0	=""	=""	=""	=""	0	21.01.2026	N	N	=""	10.04.2026
1024749	="isign_warning"	18.12.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.147,94	="STD"	=""		=""		27.02.2026	1	="4501124353/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.147,94	N	="ZETTLER"	N	N	=""	1024749	="4501124353/A350"		0	0	=""	=""	=""	=""	0	19.01.2026	N	N	=""	06.03.2026
1024751	="isign_warning"	12.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	24.596,66	="STD"	=""		=""		03.04.2026	1	="4501124676/A350/CCRC/MSN821/8-Bett"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	24.596,66	N	="ZETTLER"	N	N	=""	1024751	="4501124676/A350/CCRC/MSN821/8-Bett"		0	0	=""	=""	=""	=""	0	10.04.2026	N	N	=""	10.04.2026
1024757	=""	19.12.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	10.598,33	="STD"	=""		=""		21.04.2026	1	="4501124694/A350/FCRC/MSN840"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	10.598,33	N	="ZETTLER"	N	N	=""	1024757	="4501124694/A350/FCRC/MSN840"		0	0	=""	=""	=""	=""	0	01.04.2026	N	N	=""	28.04.2026
1024759	=""	17.02.2026	10510	="B/E Aerospace Fischer GmbH"	="Landshut"	544,00	="STD"	=""		=""		17.04.2026	1	="16057025"	=""	=""	544,00	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	18.03.2026	N	N	=""	24.04.2026
1024760	=""	19.02.2026	10320	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	37.670,00	="STD"	=""		=""		29.04.2026	1	="APO2600844"	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	37.670,00	N	="ZETTLER"	N	N	=""	1024760	="APO2600844"		0	0	=""	=""	=""	=""	0	06.05.2026	N	N	=""	06.05.2026
1024762	="isign_warning"	19.02.2026	10125	="Inspire SSA GmbH"	="Frankfurt am Main"	5.000,00	="STD"	=""		=""		06.03.2026	1	="01818022026"	="Inspire SSA GmbH"	="Frankfurt am Main"	5.000,00	J	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	13.03.2026	N	N	=""	13.03.2026
1024763	="isign_warning"	20.02.2026	10320	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	15.880,00	="STD"	=""		=""		08.04.2026	1	="APO2601796"	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	15.880,00	N	="ZETTLER"	N	N	=""	1024763	="APO2601796"		0	0	=""	=""	=""	=""	0	15.04.2026	N	N	=""	15.04.2026
1024764	=""	20.02.2026	10320	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	22.602,00	="STD"	=""		=""		08.07.2026	1	="APO2601765"	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	22.602,00	N	="ZETTLER"	N	N	=""	1024764	="APO2601765"		0	0	=""	=""	=""	=""	0	15.07.2026	N	N	=""	15.07.2026
1024768	="isign_warning"	29.10.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	850,22	="STD"	=""		=""		06.03.2026	1	="4501114355/A350/Eilt!!!"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	850,22	N	="ZETTLER"	N	N	=""	1024768	="4501114355/A350"		0	0	=""	=""	=""	=""	0	10.11.2025	N	N	=""	13.03.2026
1024773	=""	02.03.2026	10320	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	7.440,00	="STD"	=""		=""		29.04.2026	1	="APO2600313"	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	7.440,00	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	06.05.2026	N	N	=""	06.05.2026
1024774	=""	29.01.2026	10320	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	5.012,93	="STD"	=""		=""		23.04.2026	1	="APO2600791"	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	5.012,93	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	16.04.2026	N	N	=""	30.04.2026
1024775	=""	05.02.2026	10320	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	327,00	="STD"	=""		=""		08.05.2026	1	="APO2601174"	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	327,00	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	04.05.2026	N	N	=""	15.05.2026
1024776	="isign_warning"	21.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	10.667,51	="STD"	=""		=""		13.03.2026	1	="4501128413/A380 Eilt!!!"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	10.667,51	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	17.02.2026	N	N	=""	20.03.2026
1024777	="isign_warning"	03.03.2026	10510	="B/E Aerospace Fischer GmbH"	="Landshut"	4.368,00	="STD"	=""		=""		20.03.2026	1	="16056663"	=""	=""	4.368,00	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	20.01.2026	N	N	=""	27.03.2026
1024783	=""	26.02.2026	10320	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	234,00	="STD"	=""		=""		15.05.2026	1	="APO2601924"	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	234,00	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	01.04.2026	N	N	=""	22.05.2026
1024784	=""	27.02.2026	10320	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	115,00	="STD"	=""		=""		15.05.2026	1	="APO2601897"	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	115,00	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	22.05.2026	N	N	=""	22.05.2026
1024793	=""	04.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	7.260,53	="STD"	=""		=""		01.05.2026	1	="4501131239/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	8.043,77	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	27.01.2026	N	N	=""	08.05.2026
1024794	=""	15.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	24.595,03	="STD"	=""		=""		01.05.2026	1	="4501127542/A350/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	24.595,03	N	="ZETTLER"	N	N	=""	1024794	="4501127542/A350/A380"		0	0	=""	=""	=""	=""	0	26.03.2026	N	N	=""	08.05.2026
1024795	=""	21.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	568,89	="STD"	=""		=""		10.04.2026	1	="4501128451/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	568,89	N	="ZETTLER"	N	N	=""	1024795	="4501128451/A350"		0	0	=""	=""	=""	=""	0	05.02.2026	N	N	=""	17.04.2026
1024797	=""	14.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.915,51	="STD"	=""		=""		10.04.2026	1	="4501126949/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	3.492,38	N	="ZETTLER"	N	N	=""	1024797	="4501126949/A350"		0	0	=""	=""	=""	=""	0	05.02.2026	N	N	=""	17.04.2026
1024798	=""	14.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	51.071,25	="STD"	=""		=""		21.04.2026	1	="4501126947/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	52.500,87	N	="ZETTLER"	N	N	=""	1024798	="501126947/A350"		0	0	=""	=""	=""	=""	0	11.02.2026	N	N	=""	28.04.2026
1024799	=""	30.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	4.349,83	="STD"	=""		=""		07.05.2026	1	="4501130300/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	4.349,83	N	="ZETTLER"	N	N	=""	1024799	="4501130300/A350"		0	0	=""	=""	=""	=""	0	16.02.2026	N	N	=""	14.05.2026
1024800	=""	04.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	90,44	="STD"	=""		=""		14.04.2026	1	="4501131241/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	90,44	N	="ZETTLER"	N	N	=""	1024800	="4501131241/A350"		0	0	=""	=""	=""	=""	0	12.02.2026	N	N	=""	21.04.2026
1024801	=""	10.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	8.164,46	="STD"	=""		=""		08.05.2026	1	="4501128459/A350/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	8.164,46	N	="ZETTLER"	N	N	=""	1024801	="4501128459/A350/A380"		0	0	=""	=""	=""	=""	0	27.03.2026	N	N	=""	15.05.2026
