="Auftrag"	=""	="Datum"	="Kunde"	="Name"	="Ort"	="Restwert"	="Art"	="Typ"	="Kompl. Grp"	="Kommentar"	="VV-Nr."	="Lieferdatum"	="GS Bereich"	="Projekt"	="Lieferadresse"	="Lieferort"	="Gesamtwert"	="Sperre manuell"	="Verantwortlich"	="Frei 1"	="Frei 2"	="Bemerkung"	="Projekt Nr."	="Projektname"	="man.Status"	="K Sperre"	="Mat"	="Kom. Endkunde"	="1. Bearbeiter, intern"	="2. Bearbeiter, intern"	="Kommentar zu Freigabe 1"	="Status"	="Wunschdatum"	="Tech Pr³f"	="Kauf Pr³f"	="Kommentar zu Freigabe 2"	="Eintreffdatum"
1024802	="isign_warning"	03.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	787,07	="STD"	=""		=""		01.04.2026	1	="4501131125/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	787,07	N	="ZETTLER"	N	N	=""	1024802	="4501131125/A350"		0	0	=""	=""	=""	=""	0	19.02.2026	N	N	=""	08.04.2026
1024803	=""	11.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	3.266,92	="STD"	=""		=""		14.05.2026	1	="4501131245/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	3.266,92	N	="ZETTLER"	N	N	=""	1024803	="4501131245/A380"		0	0	=""	=""	=""	=""	0	19.02.2026	N	N	=""	21.05.2026
1024804	=""	04.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	831,48	="STD"	=""		=""		21.04.2026	1	="4501131325"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	831,48	N	="ZETTLER"	N	N	=""	1024804	="4501131325/A350"		0	0	=""	=""	=""	=""	0	20.02.2026	N	N	=""	28.04.2026
1024805	="isign_warning"	12.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.117,61	="STD"	=""		=""		24.03.2026	1	="4501132831/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.117,61	N	="ZETTLER"	N	N	=""	1024805	="4501132831/A350"		0	0	=""	=""	=""	=""	0	24.02.2026	N	N	=""	31.03.2026
1024806	="isign_warning"	03.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	850,22	="STD"	=""		=""		24.03.2026	1	="4501131120/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	850,22	N	="ZETTLER"	N	N	=""	1024806	="4501131120/A350"		0	0	=""	=""	=""	=""	0	26.02.2026	N	N	=""	31.03.2026
1024807	="isign_warning"	11.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	297,72	="STD"	=""		=""		31.03.2026	1	="4501133167/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	297,72	N	="ZETTLER"	N	N	=""	1024807	="4501133167/A350"		0	0	=""	=""	=""	=""	0	26.02.2026	N	N	=""	07.04.2026
1024808	=""	04.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	77.151,17	="STD"	=""		=""		15.05.2026	1	="4501131247/A350/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	77.151,17	N	="ZETTLER"	N	N	=""	1024808	="4501131247/A350/A380"		0	0	=""	=""	=""	=""	0	16.03.2026	N	N	=""	22.05.2026
1024810	=""	11.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.455,56	="STD"	=""		=""		16.04.2026	1	="4501132819/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.455,56	N	="ZETTLER"	N	N	=""	1024810	="4501132819/A350"		0	0	=""	=""	=""	=""	0	26.02.2026	N	N	=""	23.04.2026
1024811	=""	11.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	440,15	="STD"	=""		=""		07.05.2026	1	="4501132832/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	440,15	N	="ZETTLER"	N	N	=""	1024811	="4501132832/A350"		0	0	=""	=""	=""	=""	0	26.02.2026	N	N	=""	14.05.2026
1024812	=""	11.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	977,32	="STD"	=""		=""		17.04.2026	1	="4501131909/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	977,32	N	="ZETTLER"	N	N	=""	1024812	="4501131909/A350"		0	0	=""	=""	=""	=""	0	26.02.2026	N	N	=""	24.04.2026
1024813	=""	09.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	488,66	="STD"	=""		=""		17.04.2026	1	="4501131912/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	488,66	N	="ZETTLER"	N	N	=""	1024813	="4501131912/A350"		0	0	=""	=""	=""	=""	0	26.02.2026	N	N	=""	24.04.2026
1024814	=""	09.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	225,71	="STD"	=""		=""		23.04.2026	1	="4501131910/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	225,71	N	="ZETTLER"	N	N	=""	1024814	="4501131910/A350"		0	0	=""	=""	=""	=""	0	26.02.2026	N	N	=""	30.04.2026
1024815	=""	11.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	7.826,23	="STD"	=""		=""		22.05.2026	1	="4501134286/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	7.826,23	N	="ZETTLER"	N	N	=""	1024815	="4501134286/A380"		0	0	=""	=""	=""	=""	0	10.03.2026	N	N	=""	29.05.2026
1024816	=""	11.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	5.532,61	="STD"	=""		=""		22.05.2026	1	="4501131248/A350/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	5.532,61	N	="ZETTLER"	N	N	=""	1024816	="4501131248/A350/A380"		0	0	=""	=""	=""	=""	0	02.04.2026	N	N	=""	29.05.2026
1024817	=""	16.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.076,16	="STD"	=""		=""		23.04.2026	1	="4501133169/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.076,16	N	="ZETTLER"	N	N	=""	1024817	="4501133169/A350"		0	0	=""	=""	=""	=""	0	12.03.2026	N	N	=""	30.04.2026
1024818	=""	17.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	39.161,78	="STD"	=""		=""		15.05.2026	1	="4501133579"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	39.161,78	N	="ZETTLER"	N	N	=""	1024818	="4501133579"		0	0	=""	=""	=""	=""	0	31.03.2026	N	N	=""	22.05.2026
1024819	=""	30.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	538,08	="STD"	=""		=""		16.04.2026	1	="4501130295/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	538,08	N	="ZETTLER"	N	N	=""	1024819	="4501130295/A350"		0	0	=""	=""	=""	=""	0	09.04.2026	N	N	=""	23.04.2026
1024821	=""	11.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	770,26	="STD"	=""		=""		20.05.2026	1	="4501130278/Lit Pocket"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	770,26	N	="ZETTLER"	N	N	=""	1024821	="4501130278/Lit Pocket"		0	0	=""	=""	=""	=""	0	27.05.2026	N	N	=""	27.05.2026
1024822	=""	18.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	2.310,77	="STD"	=""		=""		19.06.2026	1	="4501134004/Lit Pocket"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	2.310,77	N	="ZETTLER"	N	N	=""	1024822	="4501134004/Lit Pocket"		0	0	=""	=""	=""	=""	0	26.06.2026	N	N	=""	26.06.2026
1024823	=""	11.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	25.229,70	="STD"	=""		=""		21.05.2026	1	="4501128503/A350/CCRC/MSN841/8-Bett"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	25.229,70	N	="ZETTLER"	N	N	=""	1024823	="4501128503/A350/CCRC/MSN841/8-Bett"		0	0	=""	=""	=""	=""	0	23.04.2026	N	N	=""	28.05.2026
1024824	=""	21.01.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	10.372,80	="STD"	=""		=""		21.05.2026	1	="4501128504/A350/FCRC/MSN841"	="DIEHL AVIATION HUNGARY KFT."	="Nyirbßtor"	10.372,80	N	="GOMES"	N	N	=""	1024824	="4501128504/A350/FCRC/MSN841"		0	0	=""	=""	=""	=""	0	23.04.2026	N	N	=""	28.05.2026
1024825	=""	16.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	31.960,25	="STD"	=""		=""		13.05.2026	1	="4501133242/A350/CCRC/MSN847/ohne Matratzen!!!"	="DIEHL AVIATION HUNGARY KFT."	="Nyirbßtor"	31.960,25	N	="GOMES"	N	N	=""	1024825	="4501133242/A350/CCRC/MSN847/ohne Matratzen!!!"		0	0	=""	=""	=""	=""	0	06.04.2026	N	N	=""	21.05.2026
1024826	=""	19.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	10.655,09	="STD"	=""		=""		22.07.2026	1	="4501134468/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	10.655,09	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	29.07.2026	N	N	=""	29.07.2026
1024827	=""	12.03.2026	10510	="B/E Aerospace Fischer GmbH"	="Landshut"	8.908,52	="STD"	=""		=""		23.04.2026	1	="16057079"	=""	=""	8.908,52	N	="ZETTLER"	N	N	=""	1024827	="16057079"		0	0	=""	=""	=""	=""	0	24.04.2026	N	N	=""	30.04.2026
1024828	=""	12.03.2026	10510	="B/E Aerospace Fischer GmbH"	="Landshut"	1.156,00	="STD"	=""		=""		22.05.2026	1	="16057278"	=""	=""	1.156,00	N	="ZETTLER"	N	N	=""	1024828	="16057278"		0	0	=""	=""	=""	=""	0	24.04.2026	N	N	=""	29.05.2026
1024829	=""	13.02.2026	10510	="B/E Aerospace Fischer GmbH"	="Landshut"	2.862,00	="STD"	=""		=""		29.05.2026	1	="16057241"	=""	=""	2.862,00	N	="ZETTLER"	N	N	=""	1024829	="16057241"		0	0	=""	=""	=""	=""	0	08.05.2026	N	N	=""	05.06.2026
1024830	=""	12.03.2026	10510	="B/E Aerospace Fischer GmbH"	="Landshut"	3.636,40	="STD"	=""		=""		29.05.2026	1	="16057355"	=""	=""	3.636,40	N	="ZETTLER"	N	N	=""	1024830	="16057355"		0	0	=""	=""	=""	=""	0	10.04.2026	N	N	=""	05.06.2026
1024831	=""	13.03.2026	10320	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	4.220,00	="STD"	=""		=""		25.06.2026	1	="APO2601616"	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	4.220,00	N	="ZETTLER"	N	N	=""	1024831	="APO2601616"		0	0	=""	=""	=""	=""	0	02.07.2026	N	N	=""	02.07.2026
1024832	=""	13.03.2026	10320	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	4.524,00	="STD"	=""		=""		18.06.2026	1	="APO2601630"	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	4.524,00	N	="ZETTLER"	N	N	=""	1024832	="APO2601630"		0	0	=""	=""	=""	=""	0	25.06.2026	N	N	=""	25.06.2026
1024833	=""	16.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	31.960,25	="STD"	=""		=""		26.05.2026	1	="4501133210/A350/CCRC/MSN845/ohne Matratzen!!!"	=""	=""	31.960,25	N	="GOMES"	N	N	=""	1024833	="4501133210/A350/CCRC/MSN845/ohne Matratzen!!!"		0	0	=""	=""	=""	=""	0	27.04.2026	N	N	=""	02.06.2026
1024834	=""	11.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	52.707,67	="STD"	=""		=""		04.08.2026	1	="4501138140/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	52.707,67	N	="ZETTLER"	N	N	=""	1024834	="4501138140/A380"		0	0	=""	=""	=""	=""	0	11.08.2026	N	N	=""	11.08.2026
1024835	=""	13.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.047,97	="STD"	=""		=""		04.06.2026	1	="4501138511/Lit Pocket"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.047,97	N	="ZETTLER"	N	N	=""	1024835	="4501138511/Lit Pocket"		0	0	=""	=""	=""	=""	0	11.06.2026	N	N	=""	11.06.2026
1024836	=""	16.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	25.354,28	="STD"	=""		=""		28.05.2026	1	="4501133272/A350/CCRC/MSN848/8-Bett"	="DIEHL AVIATION HUNGARY KFT."	="Nyirbßtor"	25.354,28	N	="GOMES"	N	N	=""	1024836	="4501133272/A350/CCRC/MSN848/8-Bett"		0	0	=""	=""	=""	=""	0	11.05.2026	N	N	=""	04.06.2026
1024837	=""	16.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	4.366,89	="STD"	=""		=""		09.06.2026	1	="4501139047/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	4.366,89	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	16.06.2026	N	N	=""	16.06.2026
1024838	=""	23.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	642,91	="STD"	=""		=""		01.05.2026	1	="4501134759/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	642,91	N	="ZETTLER"	N	N	=""	1024838	="4501134759/A350"		0	0	=""	=""	=""	=""	0	02.04.2026	N	N	=""	08.05.2026
1024839	=""	26.01.2026	10320	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	1.882,00	="STD"	=""		=""		15.05.2026	1	="APO2600650"	="Diamond Aircraft Industries GmbH"	="Wr. Neustadt"	1.882,00	N	="ZETTLER"	N	N	=""	1024839	="APO2600650"		0	0	=""	=""	=""	=""	0	04.03.2026	N	N	=""	22.05.2026
1024840	=""	10.02.2026	12040	="ZIM Aircraft Seating GmbH"	="Immenstaad am Bodensee"	2.220,00	="STD"	=""		=""		13.07.2026	1	="B209860/FAI"	="ZIM Aircraft Seating GmbH"	="Markdorf"	2.220,00	N	="ZETTLER"	N	N	=""	1024840	="B209860"		0	0	=""	=""	=""	=""	0	20.07.2026	N	N	=""	20.07.2026
1024841	=""	16.03.2026	10106	="British Airways PLC"	="Greater London"	15.600,00	="STD"	=""		=""		23.06.2026	1	="452158162 / Form1"	="British Airways Distribution Centre"	="Greater London"	15.600,00	N	="ZETTLER"	N	N	=""	1024841	="452158162"		0	0	=""	=""	=""	=""	0	08.05.2026	N	N	=""	30.06.2026
1024842	=""	16.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	5.366,87	="STD"	=""		=""		22.05.2026	1	="4501134287/A380"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	5.366,87	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	11.03.2026	N	N	=""	29.05.2026
1024843	=""	16.02.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	31.960,25	="STD"	=""		=""		02.06.2026	1	="4501133277/A350/CCRC/MSN849/ohne Matratzen!!!"	="DIEHL AVIATION HUNGARY KFT."	="Nyirbßtor"	31.960,25	N	="GOMES"	N	N	=""	1024843	="4501133277/A350/CCRC/MSN849/ohne Matratzen!!!"		0	0	=""	=""	=""	=""	0	15.05.2026	N	N	=""	09.06.2026
1024845	="isign_warning"	06.02.2026	11304	="Pilatus Aircraft Ltd"	="Urdorf"	2.741,38	="STD"	=""		=""		26.03.2026	1	="4510029417 / FAI"	="Pilatus Aircraft Ltd"	="Stans"	2.741,38	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	28.02.2026	N	N	=""	02.04.2026
1024846	="isign_warning"	17.03.2026	11304	="Pilatus Aircraft Ltd"	="Urdorf"	0,00	="STD"	=""		=""		17.03.2026	1	=""	=""	=""	0,00	N	="SCHMIDT"	N	N	=""		=""		0	0	=""	=""	=""	=""	0		N	N	=""	
1024849	="isign_warning"	23.03.2026	10084	="Aircraft Cabin Modification GmbH"	="Memmingen"	0,00	="BEI"	=""		=""		25.03.2026	1	="Versorgung ACM-MM Teramostrasse 9"	=""	=""	0,00	N	="GOMES"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	24.03.2026	N	N	=""	25.03.2026
1024850	=""	23.03.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	730,71	="STD"	=""		=""		23.04.2026	1	="4501139833/A350"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	1.067,44	N	="ZETTLER"	N	N	=""	1024850	="4501139833/A350"		0	0	=""	=""	=""	=""	0	28.03.2026	N	N	=""	30.04.2026
1024851	=""	23.03.2026	10004	="Diehl Aviation Hamburg GmbH"	="Hamburg"	8.268,69	="STD"	=""		=""		20.04.2026	1	="4501112462"	="Diehl Aviation Hamburg GmbH"	="Hamburg"	9.498,59	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	27.04.2026	N	N	=""	27.04.2026
1024861	="isign_warning"	16.02.2026	12050	="SAFRAN SEATS FRANCE"	="Issoudun"	7.502,00	="STD"	=""		=""		03.04.2026	1	="2797323"	="Plateforme SAFRAN SEATS LOGISTIQUE"	="Issoudun"	7.502,00	N	="ZETTLER"	N	N	=""	1024861	="2797323"		0	0	=""	=""	=""	=""	0	10.04.2026	N	N	=""	10.04.2026
1024862	="isign_warning"	16.02.2026	12050	="SAFRAN SEATS FRANCE"	="Issoudun"	9.292,50	="STD"	=""		=""		03.04.2026	1	="2797324"	="Plateforme SAFRAN SEATS LOGISTIQUE"	="Issoudun"	9.292,50	N	="ZETTLER"	N	N	=""	1024862	="2797324"		0	0	=""	=""	=""	=""	0	10.04.2026	N	N	=""	10.04.2026
1024875	=""	26.03.2026	10086	="Safran Cabin Germany GmbH"	="Herborn"	200,00	="STD"	=""		=""		22.04.2026	1	="4500848624"	="Safran Cabin Germany GmbH"	="Herborn"	200,00	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	29.04.2026	N	N	=""	29.04.2026
1024876	="isign_warning"	02.04.2026	11304	="Pilatus Aircraft Ltd"	="Urdorf"	88,50	="STD"	=""		=""		03.04.2026	1	="4510032899"	="Pilatus Aircraft Ltd"	="Stans"	88,50	N	="ZETTLER"	N	N	=""	1024876	="4510032899"		0	0	=""	=""	=""	=""	0	10.04.2026	N	N	=""	10.04.2026
1024877	="isign_warning"	09.04.2026	10005	="Diehl Aviation Laupheim GmbH"	="Laupheim"	0,00	="STD"	=""		=""		09.04.2026	1	="4501103489 Pos. 390 / QM 200509152"	="Diehl Aviation Laupheim GmbH"	="Laupheim"	0,00	N	="ZETTLER"	N	N	=""		=""		0	0	=""	=""	=""	=""	0	09.04.2026	N	N	=""	09.04.2026
